ticker,asset_type,size_metric_name,size_metric,price,ttm_dividends,dividend_yield,beta_1y,realized_vol_1y,total_return_3y,max_drawdown_3y,selected_expiration,selected_dte,selected_strike,selected_call_bid,selected_call_ask,selected_call_mid,selected_call_open_interest,selected_call_volume,expiration_total_call_open_interest,selected_call_otm_pct,selected_call_spread_pct,selected_call_yield,annualized_call_yield,metrics_signature,as_of_date,error
SPY,ETF,marketCap,643199991808.0,700.8200073242188,7.382,0.010533375078980703,1.0,0.13274845847395908,0.7847605983535368,0.18755225458981684,2026-05-22,36,735.0,1.99,2.01,2.0,1231.0,116.0,33812.0,0.04877142821062286,0.009999999999999898,0.0028537998046547558,0.028934359130527387,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
DIA,ETF,marketCap,39440990208.0,485.4700012207031,7.0440000000000005,0.014509650405355685,0.8716951279427552,0.13142808200478667,0.5173675403009652,0.15954331762754548,2026-05-22,36,510.0,1.03,1.7,1.365,197.0,1.0,1358.0,0.0505283513247301,0.4908424908424908,0.0028117082344279545,0.028507597376838983,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
IWM,ETF,marketCap,75655847936.0,269.19000244140625,2.537,0.00942456992083954,1.229361514947486,0.1959915406944001,0.5866195977195088,0.27503086515099795,2026-05-22,36,285.0,1.82,1.86,1.84,3374.0,303.0,12992.0,0.058731741205861,0.021739130434782625,0.006835320715153629,0.06930255725086318,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
QQQ,ETF,marketCap,251430682624.0,639.6099853515625,2.8120000000000003,0.004396429174654584,1.2352214778803363,0.17074037140766563,1.0794639105498955,0.22768296008055722,2026-05-22,36,670.0,5.04,5.1,5.07,930.0,867.0,16235.0,0.047513352424811695,0.01183431952662714,0.00792670551760268,0.08036798649791606,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
VTI,ETF,marketCap,716781322240.0,345.6499938964844,3.769,0.010904093928983966,1.0162281246314524,0.13537958402326175,0.7727342767926828,0.19303600035533897,2026-05-15,29,365.0,0.35,0.5,0.425,10.0,24.0,5976.0,0.05598150280688441,0.3529411764705883,0.00122956750326829,0.015475590989411238,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
VTV,ETF,marketCap,85842944000.0,202.33999633789062,3.972,0.01963032555050113,0.6476303785637464,0.10989566103105422,0.553418919313099,0.14519534756898733,2026-05-15,29,210.0,0.3,0.5,0.4,102.0,4.0,1947.0,0.03785709103857959,0.5,0.0019768706495972943,0.024881303003552152,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
VIG,ETF,totalAssets,117045436416.0,224.8000030517578,3.4530000000000003,0.015360320076174482,0.7574958353574688,0.11230017249361811,0.5345215165381554,0.14950486907783078,2026-05-15,29,235.0,0.2,0.7,0.44999999999999996,488.0,2.0,1339.0,0.04537365128902482,1.1111111111111112,0.0020017793322555794,0.025194808837009877,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
VYM,ETF,totalAssets,88722817024.0,153.60470581054688,3.513,0.022870393074629285,0.6867910788357869,0.11047455788367339,0.57128161455577,0.1445530123662715,2026-05-15,29,161.0,0.05,0.75,0.4,3.0,2.0,10398.0,0.0481449715386606,1.7499999999999998,0.0026040868858103372,0.03277557632140597,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
SCHD,ETF,totalAssets,84820000768.0,30.7814998626709,1.0550000000000002,0.03427383346187791,0.45093185458916574,0.11732636352401615,0.4101248269932476,0.1612484389252632,2026-05-22,36,32.0,0.05,0.1,0.07500000000000001,52.0,45.0,424.0,0.03958546993373746,0.6666666666666666,0.0024365284451571974,0.02470369118006603,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
DGRO,ETF,totalAssets,37549682688.0,72.43499755859375,1.471,0.020307862905774052,0.6490189884848518,0.10550127922372352,0.5429351585976845,0.14026261100941484,2026-05-15,29,75.0,0.1,0.4,0.25,2.0,1.0,15935.0,0.03541109308841195,1.2000000000000002,0.003451370310294706,0.043439660801985094,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
