ticker,asset_type,size_metric_name,size_metric,price,ttm_dividends,dividend_yield,beta_1y,realized_vol_1y,total_return_3y,max_drawdown_3y,selected_expiration,selected_dte,selected_strike,selected_call_bid,selected_call_ask,selected_call_mid,selected_call_open_interest,selected_call_volume,expiration_total_call_open_interest,selected_call_otm_pct,selected_call_spread_pct,selected_call_yield,annualized_call_yield,as_of_date,error
SPY,ETF,marketCap,642392326144.0,699.9400024414062,7.382,0.010546618244780153,0.9999999999999998,0.13280695386723787,0.7752538848617716,0.18755246925491087,2026-05-22,36,735.0,0.0,0.0,1.76,0.0,737.0,0.0,0.05009000405220987,0.0,0.0025145012341930466,0.025494248624457278,2026-04-16,
DIA,ETF,marketCap,39380058112.0,484.7200012207031,7.0440000000000005,0.014532100970169623,0.8720516838847042,0.13152323060814666,0.5137192768443424,0.159543110055971,2026-05-22,36,510.0,0.0,0.0,1.18,0.0,1.0,0.0,0.05215381811279207,0.0,0.002434395108574695,0.024682061517493435,2026-04-16,
IWM,ETF,marketCap,75712061440.0,269.3900146484375,2.537,0.00941757252328326,1.2283736138680195,0.19597797907415976,0.5761458670722419,0.2750308187824889,2026-05-22,36,285.0,0.0,0.0,1.83,0.0,3292.0,0.0,0.05794567171294007,0.0,0.006793124839419932,0.06887473795522986,2026-04-16,
QQQ,ETF,marketCap,250561953792.0,637.4000244140625,2.8120000000000003,0.004411672250224597,1.234182847348736,0.17072804858812596,1.053973042685807,0.22768304800555927,2026-05-22,36,670.0,0.0,0.0,3.99,0.0,992.0,0.0,0.051145237429046864,0.0,0.00625980521991328,0.06346746959078742,2026-04-16,
VTI,ETF,marketCap,715931123712.0,345.239990234375,3.769,0.010917043525118044,1.0159834423474423,0.13541084980854579,0.7631621643483468,0.19303591786230678,2026-05-15,29,365.0,0.0,0.0,0.35,0.0,9.0,0.0,0.05723557619211617,0.0,0.0010137875388143579,0.01275973971266347,2026-04-16,
VTV,ETF,marketCap,85715673088.0,202.0399932861328,3.972,0.019659474024901494,0.6482425816176575,0.110022279191565,0.5485674728732433,0.14519534756898733,2026-05-15,29,210.0,0.0,0.0,0.45,0.0,4.0,196.0,0.03939817352198216,0.0,0.002227281800404248,0.028033029556812084,2026-04-16,
VIG,ETF,totalAssets,117045436416.0,224.3699951171875,3.4530000000000003,0.015389758323952866,0.7578968857845785,0.11239800551652894,0.5275358359221975,0.1495047285710901,2026-05-15,29,235.0,0.0,0.0,0.16,0.0,2.0,45.0,0.047377123118715,0.0,0.0007131078285063593,0.008975322669131763,2026-04-16,
VYM,ETF,totalAssets,88722817024.0,153.0500030517578,3.513,0.022953282783091406,0.6870600468716507,0.11051596354601403,0.5613553580402886,0.14455317042510807,2026-05-15,29,161.0,0.0,0.0,0.27,0.0,2.0,0.0,0.05194378823732326,0.0,0.001764129334311039,0.0222036967939148,2026-04-16,
SCHD,ETF,totalAssets,84820000768.0,30.649999618530273,1.0550000000000002,0.034420881341942065,0.4522075818948379,0.11752279172166773,0.3981818463410356,0.16124832431470015,2026-05-22,36,32.0,0.0,0.0,0.06,0.0,16.0,0.0,0.044045689992555426,0.0,0.0019575856687360413,0.019847743585795975,2026-04-16,
DGRO,ETF,totalAssets,37549682688.0,72.36000061035156,1.471,0.020328910829079845,0.6495309743277579,0.10561256777851626,0.5385859512661693,0.14026261952252106,2026-05-15,29,74.0,0.0,0.0,0.34,0.0,2.0,0.0,0.022664446874173017,0.0,0.004698728539692146,0.0591391695512977,2026-04-16,
