ticker,asset_type,size_metric_name,size_metric,price,ttm_dividends,dividend_yield,beta_1y,realized_vol_1y,total_return_3y,max_drawdown_3y,selected_expiration,selected_dte,selected_strike,selected_call_bid,selected_call_ask,selected_call_mid,selected_call_open_interest,selected_call_volume,expiration_total_call_open_interest,selected_call_otm_pct,selected_call_spread_pct,selected_call_yield,annualized_call_yield,metrics_signature,as_of_date,error,status,fail_reasons,score_total,score_dividend,score_call,score_liquidity,score_quality,score_risk_fit,combined_income_score_proxy
SMH,ETF,marketCap,5292286464.0,453.4599914550781,1.105,0.0024368191699872,1.8453027622054432,0.3006149162095532,2.6722805227280326,0.3573875916764771,2026-05-22,36,475.0,13.5,14.25,13.875,199.0,36.0,5356.0,0.0475014531619504,0.054054054054054,0.0305980687634148,0.3102304194068452,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,dividend_yield<0.02;beta_1y>1.25,0.51373,0.0,1.0,0.22973,0.785225,0.5,0.31266723857683243
KRE,ETF,totalAssets,3711147008.0,68.82499694824219,1.573,0.0228550682128315,1.0648821433246398,0.239562009249484,0.7675649096915667,0.2820097473204189,2026-05-22,36,72.0,0.99,1.14,1.065,4.0,,226.0,0.0461315393031616,0.1408450704225351,0.0154740290188592,0.1568894608856564,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,size_metric<5000000000;selected_call_spread_pct>0.1;option_liquidity<oi:300|vol:10,0.502771,0.047584,0.834925,0.0,0.935981,1.0,0.1797445290984879
XLE,ETF,marketCap,10546937856.0,56.57500076293945,1.4915,0.0263632342887573,0.1747723114354395,0.1983999931920478,0.4418097696951761,0.2013728915336051,2026-05-22,36,59.5,0.65,1.0,0.825,8.0,2.0,1076.0,0.0517012673020875,0.4242424242424242,0.0145824125298188,0.1478494603717745,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,selected_call_spread_pct>0.1;option_liquidity<oi:300|vol:10,0.498891,0.106054,0.770353,0.0,0.94181,1.0,0.1742126946605318
IWM,ETF,marketCap,75655847936.0,269.19000244140625,2.537,0.0094245699208395,1.229361514947486,0.1959915406944001,0.5866195977195088,0.2750308651509979,2026-05-22,36,285.0,1.82,1.86,1.84,3374.0,303.0,12992.0,0.058731741205861,0.0217391304347826,0.0068353207151536,0.0693025572508631,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,dividend_yield<0.02,0.456848,0.0,0.209304,0.75783,0.949938,1.0,0.07872712717170259
SOXX,ETF,marketCap,3094042624.0,404.4500122070313,1.668,0.0041241190497138,1.9159749711758964,0.3260121083221076,1.9476153439484112,0.4136104291992085,2026-05-22,36,420.0,12.2,15.7,13.95,5.0,2.0,236.0,0.0384472427336928,0.2508960573476703,0.034491283419369,0.3497032902241587,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,size_metric<5000000000;dividend_yield<0.02;selected_call_spread_pct>0.1;beta_1y>1.25;option_liquidity<oi:300|vol:10,0.450917,0.0,1.0,0.0,0.672779,0.5,0.3538274092738725
QQQ,ETF,marketCap,251430682624.0,639.6099853515625,2.8120000000000003,0.0043964291746545,1.2352214778803363,0.1707403714076656,1.0794639105498955,0.2276829600805572,2026-05-22,36,670.0,5.04,5.1,5.07,930.0,867.0,16235.0,0.0475133524248116,0.0118343195266271,0.0079267055176026,0.080367986497916,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,dividend_yield<0.02,0.415269,0.0,0.288343,0.39383,1.0,1.0,0.08476441567257051
PFF,ETF,marketCap,13116314624.0,31.344999313354492,1.7799999999999998,0.0567873676501129,0.3828941494836532,0.0697086001466757,0.2079650922361346,0.1063020079430058,2026-05-15,29,32.0,0.0,0.1,0.05,8.0,2.0,513.0,0.0208964970806824,2.0,0.0015951507766885,0.0200768977065974,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,annualized_call_yield<0.04;selected_call_spread_pct>0.1;realized_vol_1y<0.1;option_liquidity<oi:300|vol:10,0.34433,0.613123,0.0,0.0,0.707965,0.848543,0.0768642653567103
FDVV,ETF,totalAssets,8527058944.0,58.30989837646485,1.657,0.0284171306439594,0.71436660514706,0.106489280992709,0.6719731672063955,0.1590180925715247,2026-05-15,29,61.0,0.0,1.5,0.3,21.0,1.0,144.0,0.0461345620286819,5.0,0.0051449240755508,0.0647550788819336,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,selected_call_spread_pct>0.1;option_liquidity<oi:300|vol:10,0.338118,0.140286,0.176822,0.0,1.0,1.0,0.093172209525893
SPY,ETF,marketCap,643199991808.0,700.8200073242188,7.382,0.0105333750789807,1.0,0.132748458473959,0.7847605983535368,0.1875522545898168,2026-05-22,36,735.0,1.99,2.01,2.0,1231.0,116.0,33812.0,0.0487714282106228,0.0099999999999998,0.0028537998046547,0.0289343591305273,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,dividend_yield<0.02;annualized_call_yield<0.04,0.337732,0.0,0.0,0.43866,1.0,1.0,0.039467734209508
SPYD,ETF,totalAssets,7048502272.0,45.9922981262207,1.988,0.0432246284920174,0.4762941514613341,0.1242455593900196,0.3873270991129653,0.1612986710613395,2026-05-15,29,48.0,0.0,0.75,0.09,9.0,4.0,164.0,0.0436530018193346,8.333333333333334,0.0019568493784112,0.0246293111420726,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,annualized_call_yield<0.04;selected_call_spread_pct>0.1;option_liquidity<oi:300|vol:10,0.329868,0.387077,0.0,0.0,0.887327,1.0,0.06785393963409
HDV,ETF,totalAssets,13547995136.0,133.57000732421875,3.959,0.0296398875713931,0.237935659903878,0.0997415464748329,0.4298376323447848,0.1049373121080218,2026-05-15,29,140.0,0.0,0.75,0.65,15.0,1.0,8752.0,0.0481394948206712,1.1538461538461535,0.0048663619402388,0.0612490382133508,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,selected_call_spread_pct>0.1;realized_vol_1y<0.1;option_liquidity<oi:300|vol:10,0.325046,0.160665,0.151779,0.0,0.929838,0.998708,0.0908889257847439
IYR,ETF,marketCap,4993973248.0,101.19499969482422,2.247,0.0222046544471201,0.4579116711621658,0.1342987953875909,0.2908506292393071,0.1752353557439943,2026-05-22,36,104.0,0.6,1.0,0.8,1.0,,50.0,0.0277187639076523,0.5,0.0079055289531357,0.0801532796637378,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,size_metric<5000000000;selected_call_spread_pct>0.1;option_liquidity<oi:300|vol:10,0.313856,0.036744,0.286809,0.0,0.790851,1.0,0.10235793411085789
DVY,ETF,marketCap,26692499456.0,152.48500061035156,5.244,0.0343902677575489,0.5480896411094857,0.1196001189120517,0.439792697083216,0.1600021914913941,2026-05-15,29,160.0,0.0,0.3,0.39,5.0,1.0,8303.0,0.0492835318855504,0.7692307692307692,0.002557628608971,0.0321908428370491,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,annualized_call_yield<0.04;selected_call_spread_pct>0.1;option_liquidity<oi:300|vol:10,0.300928,0.239838,0.0,0.0,0.939793,1.0,0.06658111059459801
XLU,ETF,marketCap,7517950976.0,46.04499816894531,1.1895,0.0258334248518278,0.3084823398781062,0.1413241328696008,0.4491713627529696,0.1839225995197611,2026-05-22,36,48.5,0.2,0.3,0.25,83.0,1.0,254.0,0.0533174487714593,0.3999999999999999,0.0054294713854198,0.0550488071021739,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,selected_call_spread_pct>0.1;option_liquidity<oi:300|vol:10,0.298929,0.097224,0.107491,0.0,0.949171,1.0,0.0808822319540017
SCHD,ETF,totalAssets,84820000768.0,30.7814998626709,1.0550000000000002,0.0342738334618779,0.4509318545891657,0.1173263635240161,0.4101248269932476,0.1612484389252632,2026-05-22,36,32.0,0.05,0.1,0.075,52.0,45.0,424.0,0.0395854699337374,0.6666666666666666,0.0024365284451571,0.024703691180066,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,annualized_call_yield<0.04;selected_call_spread_pct>0.1,0.295993,0.237897,0.0,0.0,0.910125,1.0,0.058977524641943904
XLF,ETF,marketCap,46018650112.0,52.09000015258789,0.792,0.0152044537853711,0.8510853054128394,0.153529534330654,0.6942593980743377,0.1554028676860679,2026-05-22,36,54.5,0.29,0.34,0.315,52.0,5.0,2031.0,0.046266074877183,0.1587301587301588,0.0060472259373635,0.0613121518649358,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,dividend_yield<0.02;selected_call_spread_pct>0.1;option_liquidity<oi:300|vol:10,0.295669,0.0,0.15223,0.0,1.0,1.0,0.0765166056503069
VNQ,ETF,marketCap,35163492352.0,94.98999786376952,3.487,0.0367091281021071,0.4737197644687778,0.1346248118712891,0.2963807628184223,0.1745481908182782,2026-05-15,29,100.0,0.05,0.15,0.1,2.0,20.0,1551.0,0.052742417611332,1.0,0.0010527424176113,0.0132500338768322,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,annualized_call_yield<0.04;selected_call_spread_pct>0.1,0.289078,0.278485,0.0,0.0,0.796381,1.0,0.0499591619789393
XLP,ETF,marketCap,17092237312.0,81.32499694824219,2.175,0.0267445445019105,0.1302752070330547,0.1263588851814858,0.1728348130070154,0.1336548916483178,2026-05-22,36,85.0,0.35,0.62,0.485,3.0,3.0,120.0,0.0451890954769627,0.5567010309278351,0.0059637260153685,0.0604655554335978,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,selected_call_spread_pct>0.1;option_liquidity<oi:300|vol:10,0.272882,0.112409,0.146183,0.0,0.672835,1.0,0.0872100999355083
VYM,ETF,totalAssets,88722817024.0,153.60470581054688,3.513,0.0228703930746292,0.6867910788357869,0.1104745578836733,0.57128161455577,0.1445530123662715,2026-05-15,29,161.0,0.05,0.75,0.4,3.0,2.0,10398.0,0.0481449715386606,1.7499999999999998,0.0026040868858103,0.0327755763214059,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,annualized_call_yield<0.04;selected_call_spread_pct>0.1;option_liquidity<oi:300|vol:10,0.26196,0.04784,0.0,0.0,1.0,1.0,0.055645969396035104
DGRO,ETF,totalAssets,37549682688.0,72.43499755859375,1.471,0.020307862905774,0.6490189884848518,0.1055012792237235,0.5429351585976845,0.1402626110094148,2026-05-15,29,75.0,0.1,0.4,0.25,2.0,1.0,15935.0,0.0354110930884119,1.2000000000000002,0.0034513703102947,0.043439660801985,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,selected_call_spread_pct>0.1;option_liquidity<oi:300|vol:10,0.258653,0.005131,0.024569,0.0,1.0,1.0,0.06374752370775899
VIG,ETF,totalAssets,117045436416.0,224.8000030517578,3.4530000000000003,0.0153603200761744,0.7574958353574688,0.1123001724936181,0.5345215165381554,0.1495048690778307,2026-05-15,29,235.0,0.2,0.7,0.4499999999999999,488.0,2.0,1339.0,0.0453736512890248,1.1111111111111112,0.0020017793322555,0.0251948088370098,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,dividend_yield<0.02;annualized_call_yield<0.04;selected_call_spread_pct>0.1,0.2556,0.0,0.0,0.028,1.0,1.0,0.040555128913184205
VTV,ETF,marketCap,85842944000.0,202.33999633789065,3.972,0.0196303255505011,0.6476303785637464,0.1098956610310542,0.553418919313099,0.1451953475689873,2026-05-15,29,210.0,0.3,0.5,0.4,102.0,4.0,1947.0,0.0378570910385795,0.5,0.0019768706495972,0.0248813030035521,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,dividend_yield<0.02;annualized_call_yield<0.04;selected_call_spread_pct>0.1;option_liquidity<oi:300|vol:10,0.25,0.0,0.0,0.0,1.0,1.0,0.044511628554053204
