ticker,asset_type,size_metric_name,size_metric,price,ttm_dividends,dividend_yield,beta_1y,realized_vol_1y,total_return_3y,max_drawdown_3y,selected_expiration,selected_dte,selected_strike,selected_call_bid,selected_call_ask,selected_call_mid,selected_call_open_interest,selected_call_volume,expiration_total_call_open_interest,selected_call_otm_pct,selected_call_spread_pct,selected_call_yield,annualized_call_yield,metrics_signature,as_of_date,error,status,fail_reasons,score_total,score_dividend,score_call,score_liquidity,score_quality,score_risk_fit,combined_income_score_proxy
VZ,EQUITY,marketCap,196691689472.0,46.6349983215332,2.766,0.0593116779147138,-0.07619723024345,0.2238810088389575,0.4560972173073907,0.1919560057755612,2026-05-22,36,49.0,0.63,0.67,0.65,58.0,16.0,1126.0,0.0507130216272524,0.0615384615384615,0.0139380298787288,0.1413161362704454,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,PASS,,0.620357,0.586234,0.677634,0.138462,0.952106,1.0,0.20062781418515918
CVX,EQUITY,marketCap,374188146688.0,187.85499572753903,6.91,0.0367836903843756,0.0549419117404219,0.2145369260145667,0.2559557402195482,0.2063973755987,2026-05-22,36,195.0,3.75,4.05,3.9,115.0,68.0,967.0,0.038034677996128,0.0769230769230768,0.0207606935599225,0.2104903652603259,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,PASS,,0.548599,0.135674,1.0,0.023077,0.73377,1.0,0.2472740556447015
MO,EQUITY,marketCap,108213600256.0,64.7249984741211,4.2,0.0648899204173682,-0.2009553989639372,0.207430608590995,0.8253520769168123,0.163969442361497,2026-05-22,36,68.0,0.75,1.02,0.885,132.0,4.0,361.0,0.0505987115192956,0.3050847457627119,0.0136732332308026,0.1386313924789708,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,selected_call_spread_pct>0.08;option_liquidity<oi:500|vol:10,0.621028,0.697798,0.655262,0.0,1.0,1.0,0.203521312896339
PM,EQUITY,marketCap,243317735424.0,156.1199951171875,5.76,0.0368946975413136,-0.0364956002248453,0.2500124856270649,0.8060176346321128,0.2063635225922906,2026-05-22,36,165.0,2.7,3.6,3.1500000000000004,22.0,17.0,39.0,0.0568793566522145,0.2857142857142856,0.0201767877179059,0.204570208806546,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,selected_call_spread_pct>0.08,0.584473,0.137894,1.0,0.0,1.0,1.0,0.2414649063478596
ABBV,EQUITY,marketCap,368901914624.0,208.56500244140625,6.739999999999999,0.0323160641579524,0.4426360296869956,0.2536371793924144,0.4435760807586324,0.2073639512163222,2026-05-22,36,220.0,3.5,4.75,4.125,97.0,1.0,423.0,0.0548270199925142,0.303030303030303,0.0197780066248596,0.2005270116131602,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,selected_call_spread_pct>0.08;option_liquidity<oi:500|vol:10,0.552347,0.046321,1.0,0.0,0.938447,1.0,0.2328430757711126
XOM,EQUITY,marketCap,633812942848.0,152.48500061035156,4.04,0.0264944091801101,-0.0555839244919229,0.2306989140916278,0.4656115551692203,0.1891814103052542,2026-05-22,36,160.0,2.91,3.2,3.055,309.0,22.0,1517.0,0.0492835318855504,0.0949263502454991,0.0200347574369397,0.2031301795689722,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,dividend_yield<0.03;selected_call_spread_pct>0.08,0.544373,0.0,1.0,0.0,0.962485,1.0,0.2296245887490823
OKE,EQUITY,marketCap,53577801728.0,85.04000091552734,4.16,0.048918155635161,0.2204595233143858,0.2594089580738841,0.5021519114516622,0.4216597876136427,2026-05-15,29,90.0,0.95,1.1,1.025,1024.0,132.0,5295.0,0.0583254824914638,0.1463414634146342,0.012053151328375,0.151703456374375,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,selected_call_spread_pct>0.08,0.537709,0.378363,0.764195,0.081511,0.650383,1.0,0.200621612009536
IBM,EQUITY,marketCap,235226300416.0,250.6649932861328,6.72,0.026808689605609,0.8837858247157413,0.3256306194861725,1.161595774175114,0.2868644784556813,2026-05-22,36,265.0,6.2,7.25,6.725,44.0,15.0,269.0,0.0571879085545217,0.1561338289962825,0.0268286365472798,0.272012564993254,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,dividend_yield<0.03;selected_call_spread_pct>0.08,0.533503,0.0,1.0,0.0,0.890019,1.0,0.298821254598863
AMGN,EQUITY,marketCap,187428438016.0,347.69000244140625,9.66,0.0277833700485188,0.6394483069416512,0.2796942723228994,0.5308913203583001,0.2274055610896636,2026-05-22,36,365.0,4.2,7.65,5.925000000000001,4.0,1.0,24.0,0.0497857212949655,0.5822784810126582,0.0170410421881443,0.1727772332964631,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,dividend_yield<0.03;selected_call_spread_pct>0.08;option_liquidity<oi:500|vol:10,0.531302,0.0,0.93981,0.0,0.995723,1.0,0.2005606033449819
WMB,EQUITY,marketCap,86382616576.0,70.63999938964844,2.025,0.028666478163882,0.2280180767883464,0.2257239895272076,1.6392259842839525,0.1236042846566283,2026-05-22,36,74.0,0.9,1.5,1.2,10.0,,83.0,0.0475651279640856,0.5,0.0169875426156338,0.1722348070751762,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,dividend_yield<0.03;selected_call_spread_pct>0.08;option_liquidity<oi:500|vol:10,0.530587,0.0,0.93529,0.0,1.0,1.0,0.2009012852390582
