ticker,asset_type,size_metric_name,size_metric,price,ttm_dividends,dividend_yield,beta_1y,realized_vol_1y,total_return_3y,max_drawdown_3y,selected_expiration,selected_dte,selected_strike,selected_call_bid,selected_call_ask,selected_call_mid,selected_call_open_interest,selected_call_volume,expiration_total_call_open_interest,selected_call_otm_pct,selected_call_spread_pct,selected_call_yield,annualized_call_yield,metrics_signature,as_of_date,error,status,fail_reasons,score_total,score_dividend,score_call,score_liquidity,score_quality,score_risk_fit,combined_income_score_proxy
VZ,EQUITY,marketCap,197661786112.0,46.8650016784668,2.766,0.0590205889456076,-0.1018747142462653,0.2235011183058385,0.458812989150376,0.1919560422241137,2026-05-15,28.0,50.0,0.36,0.39,0.375,12187.0,353.0,59924.0,0.0668942325670214,0.08,0.0080017067442526,0.1043079629161507,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,PASS,,0.656616,0.650343,0.369233,0.7,0.955069,1.0,0.1633285518617583
XOM,EQUITY,marketCap,605195075584.0,145.60000610351562,4.04,0.0277472515840948,-0.0707896449167927,0.2343681442387783,0.3929086489071838,0.1891814103052542,2026-05-15,28.0,155.0,1.69,1.82,1.755,9662.0,5609.0,85092.0,0.0645603949343338,0.0740740740740741,0.0120535709232887,0.1571269066785854,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,PASS,,0.656462,0.129121,0.809391,0.744444,0.883173,1.0,0.1848741582626802
MO,EQUITY,marketCap,107904303104.0,64.54000091552734,4.2,0.0650759209857641,-0.2170014294359351,0.2075745768649541,0.8144689071118716,0.163969442361497,2026-05-15,28.0,70.0,0.29,0.31,0.3,6343.0,114.0,15586.0,0.0845986830960683,0.0666666666666667,0.0046482800704117,0.060593650917867,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,PASS,,0.5993,0.751265,0.004947,0.8,1.0,1.0,0.1256695719036311
TXN,EQUITY,marketCap,208996859904.0,229.5500030517578,5.5600000000000005,0.0242213022264537,1.1661295645794816,0.3464766436060891,0.4027952046931076,0.3341197182921169,2026-05-15,28.0,250.0,3.2,3.45,3.325,1324.0,534.0,15950.0,0.0890873303261565,0.075187969924812,0.0144848614933378,0.1888205158952973,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,PASS,,0.555438,0.070355,1.0,0.164268,0.699968,1.0,0.213041818121751
CVX,EQUITY,marketCap,363969708032.0,182.72999572753903,6.91,0.0378153568738829,0.0447720132033171,0.2167525827363483,0.2055761528654622,0.206397280972485,2026-05-15,28.0,195.0,1.67,1.77,1.72,3259.0,1837.0,53308.0,0.0671482764699247,0.0581395348837209,0.0094127950539911,0.1227025069538129,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,PASS,,0.551435,0.296923,0.522521,0.593131,0.67881,1.0,0.1605178638276958
VLO,EQUITY,marketCap,66338971648.0,221.8500061035156,4.59,0.020689654603202,0.2871918224648558,0.3460008148613194,0.825208740466846,0.4122060375813657,2026-05-15,28.0,240.0,4.0,4.3,4.15,1029.0,145.0,7277.0,0.0818120053961843,0.0722891566265059,0.018706332593309,0.2438504070199212,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,PASS,,0.530976,0.011494,1.0,0.14012,0.667189,1.0,0.2645400616231232
SPG,EQUITY,marketCap,78431485952.0,206.0500030517578,8.65,0.041980101295253,0.6481809404060053,0.2005015310403772,1.216421473023146,0.2431874587663398,2026-05-15,28.0,220.0,1.3,1.35,1.3250000000000002,147.0,2824.0,1351.0,0.067701998260772,0.0377358490566038,0.0064304779440705,0.0838258731994912,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,PASS,,0.456298,0.366335,0.198549,0.3,0.967667,1.0,0.1258059744947442
BAC,EQUITY,marketCap,386868674560.0,54.13999938964844,1.1,0.0203176950942175,1.0148174113916848,0.2178623227678359,1.0491509743500154,0.2750938586286753,2026-05-15,28.0,57.5,0.32,0.34,0.33,20668.0,663.0,90451.0,0.0620613344704616,0.0606060606060606,0.0060953085282652,0.0794567004577435,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,PASS,,0.455698,0.005295,0.162139,0.845455,0.910944,1.0,0.09977439555196099
WFC,EQUITY,marketCap,250147569664.0,81.3499984741211,1.75,0.0215119856524239,1.0689453049279536,0.2650125513457729,1.2152472115954749,0.2473461892332824,2026-05-15,28.0,87.5,0.5,0.53,0.515,4151.0,634.0,80427.0,0.0755992826211955,0.058252427184466,0.0063306700634276,0.082524806183967,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,PASS,,0.452861,0.0252,0.187707,0.73104,0.960273,1.0,0.1040367918363909
MRK,EQUITY,marketCap,292113121280.0,118.1500015258789,3.3200000000000003,0.0280998726798391,0.4731334114548959,0.2770716094275622,0.120610101829327,0.4344340330615271,2026-05-15,28.0,130.0,0.7,0.75,0.725,4501.0,71.0,23352.0,0.1002962193912924,0.0689655172413793,0.0061362673773745,0.0799906283122035,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,PASS,,0.356822,0.134998,0.166589,0.705136,0.213793,1.0,0.10809050099204259
MSFT,EQUITY,marketCap,3159392256000.0,425.10540771484375,3.48,0.0081862049666852,0.9642430389905272,0.2449143210401264,0.5014242662021868,0.3391008939344876,2026-05-15,28.0,460.0,6.2,6.35,6.275,8942.0,3497.0,340078.0,0.0820845645618395,0.0239043824701194,0.0147610448752729,0.1924207635526648,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,dividend_yield<0.02,0.719573,0.0,1.0,1.0,0.797154,1.0,0.20060696851935
