ticker,asset_type,size_metric_name,size_metric,price,ttm_dividends,dividend_yield,beta_1y,realized_vol_1y,total_return_3y,max_drawdown_3y,selected_expiration,selected_dte,selected_strike,selected_call_bid,selected_call_ask,selected_call_mid,selected_call_open_interest,selected_call_volume,expiration_total_call_open_interest,selected_call_otm_pct,selected_call_spread_pct,selected_call_yield,annualized_call_yield,metrics_signature,as_of_date,error,status,fail_reasons,score_total,score_dividend,score_call,score_liquidity,score_quality,score_risk_fit,combined_income_score_proxy
KWEB,ETF,totalAssets,6039135744.0,29.63999938964844,2.096,0.0707152511187977,1.1444323445903686,0.2643900633362036,0.1039362196225479,0.3136365152934044,2026-05-22,36.0,31.0,0.0,0.0,0.76,0.0,6728.0,0.0,0.0458839621577904,0.0,0.0256410261690297,0.2599715153248845,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,PASS,,0.742813,0.845254,1.0,0.3,0.476663,1.0,0.3306867664436822
SPDW,ETF,totalAssets,35649814528.0,48.880001068115234,1.4660000000000002,0.0299918160385696,0.7993812139812801,0.1457089937995608,0.6595195052420453,0.1352925893921166,2026-05-15,29.0,50.0,0.0,0.0,0.74,0.0,15.0,3.0,0.0229132346033305,0.0,0.0151391158721292,0.1905440445974893,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,PASS,,0.651633,0.16653,1.0,0.3,1.0,1.0,0.2205358606360589
SCHF,ETF,totalAssets,56551763968.0,26.5,0.8220000000000001,0.0310188679245283,0.8067799052049169,0.1471337191214362,0.6608513612820954,0.1340808702140437,2026-05-15,29.0,27.0,0.0,0.0,0.35,0.0,32.0,0.0,0.0188679245283018,0.0,0.0132075471698113,0.1662329212752114,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,PASS,,0.628378,0.183648,0.908219,0.3,1.0,1.0,0.19725178919973968
EWJ,ETF,marketCap,20294598656.0,89.06999969482422,3.652,0.0410014596666964,0.9180858229718912,0.1944915149722052,0.6811987670576667,0.1467618828956735,2026-05-22,36.0,93.0,0.0,0.0,1.27,0.0,7.0,0.0,0.0441226037795097,0.0,0.0142584484602148,0.1445648246660668,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,PASS,,0.626636,0.350024,0.763765,0.3,1.0,1.0,0.1855662843327632
XLE,ETF,marketCap,10395001856.0,55.7599983215332,1.4915,0.0267485660849458,0.1752240645264275,0.1979940563323347,0.4220254584421503,0.2013728915336051,2026-05-22,36.0,58.5,0.0,0.0,1.04,0.0,157.0,0.0,0.0491391994430652,0.0,0.0186513635456544,0.1891041026156635,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,PASS,,0.626423,0.112476,1.0,0.3,0.922025,1.0,0.2158526687006093
EWT,ETF,marketCap,6862899712.0,80.73999786376953,2.816,0.0348773851189761,1.2290380583236016,0.2382322489120565,1.1707717014033117,0.2566123541576474,2026-05-15,29.0,85.0,0.0,0.0,0.95,0.0,218.0,0.0,0.0527619797986402,0.0,0.0117661633036318,0.1480913657181251,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,PASS,,0.606188,0.247956,0.787276,0.3,0.986775,1.0,0.18296875083710118
VGK,ETF,marketCap,24832645120.0,88.02999877929688,2.4770000000000003,0.0281381351169863,0.7527954367386717,0.1436936340516347,0.5721172983727711,0.1430656731790939,2026-05-15,29.0,90.0,0.0,0.0,1.05,0.0,3.0,0.0,0.0223787486995448,0.0,0.0119277520681613,0.1501251553406515,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,PASS,,0.584159,0.135636,0.800834,0.3,1.0,1.0,0.17826329045763778
VEU,ETF,marketCap,37239341056.0,80.48999786376953,2.193,0.0272456212970918,0.8087761403179863,0.142965365843651,0.6461276196968577,0.1369297858339547,2026-05-15,29.0,82.0,0.0,0.0,0.9,0.0,6.0,0.0,0.0187601214598882,0.0,0.0111815135282182,0.1407328426827474,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,PASS,,0.561656,0.12076,0.738219,0.3,1.0,1.0,0.1679784639798392
IXUS,ETF,totalAssets,51986108416.0,92.93000030517578,2.741,0.0294953189604943,0.8134137172218232,0.1433238324558127,0.6410321596885029,0.1374636197693628,2026-05-15,29.0,95.0,0.0,0.0,0.9,0.0,12.0,17.0,0.0222748271605131,0.0,0.009684708888889,0.1218937498084314,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,PASS,,0.533351,0.158255,0.612625,0.3,1.0,1.0,0.15138906876892572
KRE,ETF,totalAssets,3711147008.0,69.16999816894531,1.573,0.0227410733213842,1.0605087750325024,0.2399801168860608,0.7569947187931527,0.282009772405664,2026-05-22,36.0,74.0,0.0,0.0,0.78,0.0,51.0,0.0,0.0698279884185855,0.0,0.011276565283331,0.1143318424559952,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,PASS,,0.480482,0.045685,0.562212,0.3,0.93598,1.0,0.1370729157773794
VWO,ETF,marketCap,82378588160.0,58.09000015258789,1.452,0.0249956962676185,0.8272944580622275,0.1529993432675571,0.5694758923076748,0.1736790808132112,2026-05-15,29.0,61.0,0.0,0.0,0.45,0.0,3.0,0.0,0.0500946779095932,0.0,0.0077466000829396,0.0975003113887228,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,PASS,,0.465816,0.083262,0.450002,0.3,1.0,1.0,0.1224960076563413
