ticker,asset_type,size_metric_name,size_metric,price,ttm_dividends,dividend_yield,beta_1y,realized_vol_1y,total_return_3y,max_drawdown_3y,selected_expiration,selected_dte,selected_strike,selected_call_bid,selected_call_ask,selected_call_mid,selected_call_open_interest,selected_call_volume,expiration_total_call_open_interest,selected_call_otm_pct,selected_call_spread_pct,selected_call_yield,annualized_call_yield,metrics_signature,as_of_date,error
SPY,ETF,marketCap,643970891776.0,701.6599731445312,7.382,0.010520765445572055,1.0,0.13275501938242523,0.7868994403269705,0.18755246925491087,2026-05-15,29.0,735.0,1.21,1.24,1.225,5298.0,4113.0,592589.0,0.047515930980148946,0.024489795918367366,0.001745859884966915,0.021973753724583586,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
QQQ,ETF,marketCap,251768750080.0,640.469970703125,2.8120000000000003,0.004390525908518258,1.2353422179610536,0.17076212170142727,1.0822596398263462,0.22768313593054135,2026-05-15,29.0,670.0,1.56,3.45,2.505,4638.0,3041.0,530795.0,0.04610681319602872,0.7544910179640719,0.003911190398591122,0.04922705156847446,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
IWM,ETF,marketCap,75869446144.0,269.95001220703125,2.537,0.0093980362484826,1.2292942277990655,0.19597840088559026,0.5910991340234668,0.2750309115195011,2026-05-15,29.0,283.0,1.85,1.89,1.87,9785.0,542.0,350591.0,0.04834223820282846,0.0213903743315507,0.0069272084291140965,0.08718727850436708,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
GLD,ETF,marketCap,114552823808.0,440.0799865722656,0.0,0.0,0.002027972716238348,0.27474599349686385,1.3509801850129168,0.19209514099718206,2026-05-15,29.0,460.0,5.45,5.7,5.575,15067.0,3934.0,603539.0,0.04526452925725888,0.04484304932735426,0.01266815163175917,0.15944397743421024,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
IVV,ETF,marketCap,438031155200.0,704.739990234375,8.06,0.011436842114379646,0.9944253704406262,0.13207859855825732,0.7905909327225364,0.18754503976785042,2026-05-15,29.0,730.0,1.9,3.4,2.65,22.0,4.0,327.0,0.03584302028500508,0.5660377358490566,0.003760252059938717,0.047327310409573504,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
VOO,ETF,totalAssets,1421127057408.0,644.8599853515625,7.128,0.01105356226454954,0.9964802220062268,0.13231934735153641,0.7907552270260769,0.18689403311786013,2026-05-15,29.0,675.0,0.8,1.35,1.0750000000000002,36.0,10.0,4056.0,0.04673885080961537,0.5116279069767441,0.0016670285401782768,0.020981566109140377,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
SLV,ETF,marketCap,24324896768.0,71.23999786376953,0.0,0.0,0.7900469443786821,0.5669039102586241,2.0405461773738147,0.4245265025012638,2026-05-15,29.0,75.0,2.86,2.92,2.8899999999999997,23459.0,1665.0,775150.0,0.05277936901992364,0.020761245674740504,0.04056709835290106,0.5105858930623753,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
LQD,ETF,marketCap,32117704704.0,109.43000030517578,4.952,0.04525267281540693,0.16160590156744353,0.05702508771219184,0.1395038944200635,0.08746694027386259,2026-05-15,29.0,115.0,0.0,0.21,0.03,56.0,2.0,69242.0,0.05090011586667953,7.0,0.0002741478563130468,0.003450481639802141,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
HYG,ETF,marketCap,15716459520.0,80.3499984741211,4.667,0.05808338629282158,0.23711497091395267,0.04099499991053602,0.2799552510580323,0.045606687782741795,2026-05-15,29.0,84.0,0.0,0.22,0.02,16505.0,2.0,646602.0,0.045426279965076644,11.0,0.000248911019039304,0.0031328455844602055,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
RSP,ETF,marketCap,31210151936.0,200.63999938964844,3.118,0.015540271179650263,0.8017909793901477,0.12745603646235557,0.4621563708581582,0.17809552636560044,2026-05-15,29.0,210.0,0.0,1.0,0.35,307.0,48.0,2681.0,0.04665072088728528,2.857142857142857,0.0017444178681454753,0.021955604202520636,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
TLT,ETF,marketCap,9464915968.0,86.27999877929688,3.9109999999999996,0.04532916151290506,0.10521048552059593,0.1039694432410541,-0.0885199159776433,0.21305789140606146,2026-05-15,29.0,91.0,0.09,0.11,0.1,43382.0,700.0,629169.0,0.054705624565165145,0.20000000000000004,0.00115901716985183,0.014587629896410962,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
DIA,ETF,marketCap,39453986816.0,485.6300048828125,7.0440000000000005,0.01450486981688825,0.8716822840120639,0.13143026546385939,0.517867641980994,0.15954331762754548,2026-05-15,29.0,510.0,0.69,0.94,0.815,526.0,53.0,13047.0,0.05018222694676422,0.3067484662576687,0.0016782323822776722,0.02112257998383967,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
