ticker,asset_type,size_metric_name,size_metric,price,ttm_dividends,dividend_yield,beta_1y,realized_vol_1y,total_return_3y,max_drawdown_3y,selected_expiration,selected_dte,selected_strike,selected_call_bid,selected_call_ask,selected_call_mid,selected_call_open_interest,selected_call_volume,expiration_total_call_open_interest,selected_call_otm_pct,selected_call_spread_pct,selected_call_yield,annualized_call_yield,metrics_signature,as_of_date,error
NVDA,EQUITY,marketCap,4870476660736.0,200.74,0.04,0.00019926272790674504,1.741712091721772,0.3413869112728139,6.5880574452003025,0.3688683664592117,2026-05-15,28,215.0,2.31,2.33,2.3200000000000003,29793.0,15849.0,225745.0,0.07103716249875447,0.00862068965517242,0.011557238218591214,0.1506568553494926,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
GOOGL,EQUITY,marketCap,4110318829568.0,341.6,0.84,0.0024590163934426227,1.1786096567840227,0.286608149126098,2.1803965372800893,0.29886616920244213,2026-05-15,28,370.0,4.05,4.2,4.125,9500.0,1870.0,102661.0,0.08313817330210771,0.03636363636363645,0.012075526932084309,0.15741311893609902,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
GOOG,EQUITY,marketCap,4082132844544.0,339.49,0.84,0.0024742996848213495,1.1495640094295718,0.2803019933476528,2.1374433866346245,0.29430455924124976,2026-05-15,28,365.0,4.35,4.5,4.425,12308.0,1384.0,50708.0,0.07514212495213402,0.033898305084745846,0.013034257268255323,0.16991085367547118,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
AAPL,EQUITY,marketCap,3976891465728.0,270.3,1.04,0.003847576766555679,0.9948024245049171,0.23571658909537158,0.6325199323508093,0.3343371168249556,2026-05-15,28,290.0,2.08,2.14,2.1100000000000003,17741.0,5852.0,150416.0,0.07288198298187187,0.02843601895734599,0.007806141324454311,0.10175862797949368,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
MSFT,EQUITY,marketCap,3159392256000.0,420.94,3.48,0.008267211479070651,0.9571905005955247,0.24484235119382042,0.45269804029809557,0.34183777002970106,2026-05-15,28,455.0,5.8,6.2,6.0,1521.0,671.0,157673.0,0.08091414453366275,0.06666666666666672,0.014253812894949399,0.18580863238059037,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
AMZN,EQUITY,marketCap,2730612228096.0,252.03500000000003,,,1.5235112052843447,0.3139720609809223,1.4612304687499997,0.3087664215483765,2026-05-15,28,270.0,4.9,5.05,4.975,15311.0,1742.0,158055.0,0.07127978256988099,0.030150753768844116,0.01973932191957466,0.25731616073731256,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
AVGO,EQUITY,marketCap,1912369053696.0,403.35,2.48,0.006148506260071898,1.8948810335658295,0.4270181587992541,5.461230374879846,0.41484,2026-05-15,28,440.0,6.05,6.45,6.25,4603.0,477.0,37748.0,0.09086401388372378,0.06400000000000006,0.015495227469939258,0.20199135809027963,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
META,EQUITY,marketCap,1734554157056.0,683.47,2.1,0.0030725562204632242,1.6351696742405086,0.3556305964402294,2.1015203085999543,0.3420934746901597,2026-05-15,28,740.0,11.45,11.75,11.6,1710.0,192.0,31826.0,0.0827102872108505,0.025862068965517303,0.016972215313034954,0.2212449496163485,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
TSLA,EQUITY,marketCap,1508027400192.0,400.92,,,2.1049796940305368,0.4898821207885814,1.155621301775148,0.5376568165715,2026-05-15,28,435.0,9.05,9.15,9.100000000000001,6283.0,1164.0,76663.0,0.0850044896737503,0.010989010989010948,0.02269779507133593,0.29588197146562906,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
WMT,EQUITY,marketCap,1008229875712.0,127.22,0.9525,0.00748703034114133,0.16424454267118987,0.21852123153694164,1.5532811559301627,0.2214183722037124,2026-05-15,28,135.0,0.81,0.85,0.8300000000000001,12501.0,596.0,35380.0,0.06115390661845632,0.048192771084337255,0.0065241314258764355,0.08504671323017497,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
