ticker,asset_type,size_metric_name,size_metric,price,ttm_dividends,dividend_yield,beta_1y,realized_vol_1y,total_return_3y,max_drawdown_3y,selected_expiration,selected_dte,selected_strike,selected_call_bid,selected_call_ask,selected_call_mid,selected_call_open_interest,selected_call_volume,expiration_total_call_open_interest,selected_call_otm_pct,selected_call_spread_pct,selected_call_yield,annualized_call_yield,metrics_signature,as_of_date,error,status,fail_reasons,score_total,score_dividend,score_call,score_liquidity,score_quality,score_risk_fit,combined_income_score_proxy
GOOG,EQUITY,marketCap,4082132844544.0,339.45,0.84,0.0024745912505523,1.1495678040835196,0.2803147617558124,2.1380903965246327,0.2943045592412497,2026-05-15,28,365.0,4.4,4.55,4.475,12308.0,4237.0,48948.0,0.075268817204301,0.0335195530726255,0.0131830902931212,0.1718509984639016,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,PASS,,0.722954,0.030932,0.945673,1.0,0.876792,1.0,0.1743255897144539
GOOGL,EQUITY,marketCap,4110318829568.0,341.87,0.84,0.0024570743264983,1.1787611204530384,0.2866340016905822,2.1820720469142696,0.2988661692024421,2026-05-15,28,370.0,4.2,4.35,4.275,9500.0,2100.0,103871.0,0.0822827390528564,0.0350877192982454,0.0125047532687863,0.163008390825251,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,PASS,,0.703997,0.030713,0.886723,1.0,0.868682,1.0,0.1654654651517493
XOM,EQUITY,marketCap,605195075584.0,146.35,4.04,0.0276050563717116,-0.0621714997561058,0.2341327538676523,0.2649218277619418,0.2029193586982531,2026-05-15,28,160.0,1.28,1.37,1.3250000000000002,5644.0,4075.0,29380.0,0.0932695592757089,0.0679245283018868,0.0090536385377519,0.1180206452242667,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,PASS,,0.631953,0.345063,0.586804,0.790566,0.743551,1.0,0.1456257015959783
CVX,EQUITY,marketCap,363969708032.0,183.78,6.91,0.0375993035150723,0.0604607348410237,0.2187452457632309,0.069149863443547,0.2244838784504755,2026-05-15,28,200.0,1.33,1.43,1.38,10443.0,2408.0,18931.0,0.0882576994232233,0.0724637681159419,0.0075089781260202,0.0978848934284781,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,PASS,,0.584069,0.469991,0.452566,0.756522,0.529982,1.0,0.1354841969435504
AAPL,EQUITY,marketCap,3976891465728.0,270.2,1.04,0.0038490007401924,0.994726380090364,0.2356966192855592,0.6322179270355159,0.3343371168249556,2026-05-15,28,290.0,1.98,2.04,2.01,17741.0,6812.0,189529.0,0.0732790525536639,0.0298507462686567,0.0074389341228719,0.0969718198160093,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,PASS,,0.566815,0.048113,0.446479,1.0,0.805623,1.0,0.1008208205562017
WMT,EQUITY,marketCap,1008229875712.0,127.23,0.9525,0.0074864418769158,0.1658680086191125,0.2187103685593429,1.5586995785671285,0.2214183722037124,2026-05-15,28,135.0,0.85,0.92,0.885,12501.0,1129.0,18502.0,0.0610705022400377,0.0790960451977401,0.0069559066257958,0.090675211371981,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,PASS,,0.536101,0.093581,0.404501,0.70678,1.0,1.0,0.0981616532488968
V,EQUITY,marketCap,611034333184.0,317.02,2.52,0.0079490252980884,0.7169798968308932,0.2083644779659872,0.3624135115389573,0.2083790951220165,2026-05-15,28,340.0,1.55,1.65,1.6,4553.0,9923.0,7963.0,0.0724875402182827,0.0624999999999999,0.0050470001892625,0.0657912524671719,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,PASS,,0.476252,0.099363,0.238608,0.761717,0.849906,1.0,0.0737402777652603
ORCL,EQUITY,marketCap,506543931392.0,175.05,2.0,0.0114253070551271,1.62994102948509,0.6164625410896318,0.8321297749869179,0.5843206530015533,2026-05-15,28,190.0,4.7,4.85,4.775,19510.0,3931.0,42078.0,0.0854041702370751,0.0314136125654449,0.0272779205941159,0.3555871791732974,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,beta_1y>1.2;realized_vol_1y>0.6;max_drawdown_3y>0.45,0.667473,0.142816,1.0,1.0,0.6,0.417687,0.36701248622842453
AVGO,EQUITY,marketCap,1912369053696.0,406.64,2.48,0.0060987605744638,1.8995964980270876,0.427256990965945,5.512976610060878,0.41484,2026-05-15,28,440.0,6.9,7.15,7.025,4603.0,659.0,17625.0,0.0820381664371434,0.0355871886120996,0.0172757229982293,0.2252013890840617,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,beta_1y>1.2,0.656084,0.076235,1.0,0.938244,0.662507,0.5,0.2313001496585255
PLTR,EQUITY,marketCap,352078594048.0,146.5,,,1.9105357144595596,0.5316949869245727,16.06177156177156,0.4061145883485796,2026-05-15,28,160.0,4.8,4.95,4.875,12432.0,3274.0,32827.0,0.0921501706484642,0.0307692307692308,0.0332764505119453,0.4337823013164311,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,dividend_yield_missing;beta_1y>1.2,0.651703,0.0,1.0,1.0,0.678019,0.5,
